@RELATION pizza

@ATTRIBUTE tipo			{H,P4}
@ATTRIBUTE masa 		REAL           
@ATTRIBUTE queso		REAL 
@ATTRIBUTE champ		REAL 
@ATTRIBUTE chorizo		REAL 
@ATTRIBUTE carne		REAL 
@ATTRIBUTE tocino		REAL 
@ATTRIBUTE jamon		REAL 
@ATTRIBUTE pinia		REAL 
@ATTRIBUTE class 		{great,good,bad}

@DATA
P4,58.91,23.68,4.37,3.30,4.12,5.54,0.0,0.0,great
P4,56.42,18.24,4.30,3.99,4.52,5.24,0.0,0.0,great
P4,57.50,17.01,4.62,3.86,5.04,5.42,0.0,0.0,great
P4,58.47,15.56,4.83,4.76,4.50,4.50,0.0,0.0,great
P4,58.90,23.04,6.76,3.58,3.93,4.68,0.0,0.0,great
P4,55.22,15.91,6.54,4.03,5.00,4.29,0.0,0.0,great
P4,58.41,23.52,5.74,4.22,5.33,4.33,0.0,0.0,great
P4,58.02,21.89,4.22,3.45,5.14,5.19,0.0,0.0,great
P4,58.67,18.65,7.25,4.76,3.95,5.51,0.0,0.0,great
P4,58.42,20.98,4.16,4.09,3.60,5.40,0.0,0.0,great
P4,58.08,21.91,6.56,4.47,4.86,5.77,0.0,0.0,great
P4,58.12,21.79,6.10,3.71,3.79,4.81,0.0,0.0,great
P4,58.99,18.96,4.14,4.84,5.11,4.09,0.0,0.0,great
P4,56.46,19.49,4.60,4.74,3.84,5.26,0.0,0.0,great
P4,58.80,20.34,8.32,3.81,4.18,4.43,0.0,0.0,great
P4,58.61,16.55,8.08,3.97,4.16,5.28,0.0,0.0,great
P4,57.18,15.44,6.47,4.60,3.57,5.32,0.0,0.0,great
P4,58.59,19.71,7.88,4.22,4.65,5.95,0.0,0.0,great
P4,57.67,17.02,4.75,4.75,3.51,5.69,0.0,0.0,great
P4,58.79,15.30,5.57,4.78,3.69,5.54,0.0,0.0,great
P4,56.71,15.09,6.23,3.25,5.17,4.27,0.0,0.0,great
P4,55.18,22.49,8.13,4.86,3.80,4.64,0.0,0.0,great
P4,58.80,20.33,4.14,3.57,5.03,5.62,0.0,0.0,great
P4,57.98,15.73,8.55,4.08,5.35,5.56,0.0,0.0,great
P4,56.24,21.67,7.71,4.02,3.77,4.69,0.0,0.0,great
P4,57.70,16.27,6.05,3.44,4.73,5.43,0.0,0.0,great
P4,58.34,23.34,8.53,4.60,4.44,4.81,0.0,0.0,great
P4,55.50,17.50,8.36,3.42,3.43,5.73,0.0,0.0,great
P4,55.17,22.44,8.42,3.53,4.16,4.08,0.0,0.0,great
P4,58.30,22.54,5.01,4.54,4.21,4.07,0.0,0.0,great
P4,56.35,17.62,5.93,3.53,4.56,5.74,0.0,0.0,great
P4,56.33,23.64,5.90,3.54,4.52,4.65,0.0,0.0,great
P4,58.45,21.72,6.61,3.43,3.81,5.37,0.0,0.0,great
P4,55.36,22.08,6.37,4.84,5.12,4.48,0.0,0.0,great
P4,58.33,16.82,5.17,4.09,4.90,5.81,0.0,0.0,great
P4,57.65,23.03,6.90,3.54,5.13,4.22,0.0,0.0,great
P4,55.93,20.54,5.53,3.68,4.25,5.44,0.0,0.0,great
P4,57.03,17.52,6.68,3.63,4.14,4.55,0.0,0.0,great
P4,58.43,17.38,5.97,3.76,5.50,4.64,0.0,0.0,great
P4,56.37,21.81,5.99,4.85,3.70,4.25,0.0,0.0,great
P4,56.59,15.18,4.40,3.31,4.88,5.53,0.0,0.0,great
P4,55.11,21.74,5.43,3.69,4.20,5.45,0.0,0.0,great
P4,57.17,15.31,5.10,3.46,4.21,4.82,0.0,0.0,great
P4,58.89,22.46,5.53,4.76,4.45,4.44,0.0,0.0,great
P4,55.24,17.39,8.46,4.54,4.89,4.76,0.0,0.0,great
P4,55.12,16.35,5.31,4.23,4.82,4.64,0.0,0.0,great
P4,55.67,20.01,7.16,3.36,4.95,5.79,0.0,0.0,great
P4,55.20,22.62,5.81,3.35,4.17,4.88,0.0,0.0,great
P4,58.03,20.64,4.20,4.44,4.50,4.83,0.0,0.0,great
P4,57.27,16.25,6.64,3.48,3.60,5.96,0.0,0.0,great
P4,57.27,17.41,5.18,3.23,3.82,4.96,0.0,0.0,great
P4,56.48,18.10,5.58,4.56,4.18,5.96,0.0,0.0,great
P4,58.16,18.56,8.16,4.86,3.85,4.27,0.0,0.0,great
P4,55.80,18.98,8.07,3.44,5.01,4.07,0.0,0.0,great
P4,56.48,17.00,7.64,4.14,4.82,4.69,0.0,0.0,great
P4,56.46,23.62,7.27,3.74,4.13,5.88,0.0,0.0,great
P4,58.25,22.53,4.24,3.52,4.92,4.95,0.0,0.0,great
P4,57.59,15.35,8.11,4.57,4.69,5.37,0.0,0.0,great
P4,56.12,22.58,5.76,3.72,4.62,4.35,0.0,0.0,great
P4,57.67,19.17,8.15,4.33,3.61,5.63,0.0,0.0,great
P4,56.83,18.05,4.38,4.80,5.03,4.59,0.0,0.0,great
P4,57.56,15.48,8.12,4.12,3.79,5.89,0.0,0.0,great
P4,58.70,20.69,6.01,4.77,3.47,5.08,0.0,0.0,great
P4,56.67,20.06,6.28,4.39,4.60,4.57,0.0,0.0,great
P4,57.26,18.32,8.59,3.55,3.67,4.79,0.0,0.0,great
P4,57.61,19.52,4.50,3.81,5.15,5.23,0.0,0.0,great
P4,58.87,20.08,5.62,4.65,4.86,5.34,0.0,0.0,great
P4,55.56,21.08,4.97,4.81,4.15,5.54,0.0,0.0,great
P4,58.65,15.24,4.73,3.50,3.58,5.28,0.0,0.0,great
P4,56.70,17.32,5.11,3.94,4.99,5.96,0.0,0.0,great
P4,56.80,15.75,6.13,4.87,5.02,4.03,0.0,0.0,great
P4,55.90,17.25,5.36,4.64,4.72,5.62,0.0,0.0,great
P4,57.07,17.67,7.19,4.20,4.77,5.15,0.0,0.0,great
P4,56.85,23.08,4.89,4.15,3.45,4.66,0.0,0.0,great
P4,57.60,23.28,4.72,4.09,4.03,4.13,0.0,0.0,great
P4,56.11,18.19,5.38,3.83,3.88,4.53,0.0,0.0,great
P4,58.55,17.66,5.77,3.31,4.21,4.45,0.0,0.0,great
P4,58.59,17.64,8.43,4.11,4.84,4.95,0.0,0.0,great
P4,58.52,16.64,5.68,4.54,5.55,4.78,0.0,0.0,great
P4,58.71,20.07,6.21,3.65,5.17,5.61,0.0,0.0,great
P4,58.25,16.08,5.60,3.66,5.44,4.09,0.0,0.0,great
P4,56.69,15.94,4.73,4.57,5.57,5.69,0.0,0.0,great
P4,58.94,18.66,7.75,4.41,5.18,5.65,0.0,0.0,great
P4,58.42,18.56,5.35,3.71,4.10,4.56,0.0,0.0,great
P4,57.25,15.82,4.17,4.70,3.51,4.50,0.0,0.0,great
P4,55.70,19.87,7.12,3.23,5.53,5.76,0.0,0.0,great
P4,57.07,19.67,7.34,3.71,3.52,4.48,0.0,0.0,great
P4,55.31,22.36,7.44,3.60,5.40,5.80,0.0,0.0,great
P4,57.38,19.41,5.61,4.22,3.43,5.76,0.0,0.0,great
P4,58.09,15.45,6.05,3.45,4.51,5.52,0.0,0.0,great
P4,58.28,23.27,7.96,3.87,3.48,4.81,0.0,0.0,great
P4,58.31,20.20,6.48,4.04,4.65,4.64,0.0,0.0,great
P4,55.49,15.84,8.27,4.50,5.56,4.88,0.0,0.0,great
P4,58.51,22.20,5.35,4.04,5.33,5.41,0.0,0.0,great
P4,56.89,16.10,4.50,3.71,4.66,5.64,0.0,0.0,great
P4,57.01,18.41,5.21,4.38,4.57,4.07,0.0,0.0,great
P4,55.61,15.88,8.02,3.74,4.13,5.84,0.0,0.0,great
P4,55.05,15.91,5.54,4.32,3.80,4.77,0.0,0.0,great
P4,58.53,20.94,4.02,3.75,3.91,5.04,0.0,0.0,great
P4,57.17,16.34,4.58,4.11,4.74,5.48,0.0,0.0,great
P4,58.37,17.20,6.24,3.40,3.73,4.96,0.0,0.0,great
P4,56.99,16.47,6.18,3.55,3.68,4.35,0.0,0.0,great
P4,58.81,16.83,8.00,3.50,4.94,4.51,0.0,0.0,great
P4,55.93,23.36,8.26,4.35,5.19,5.04,0.0,0.0,great
P4,56.21,17.02,7.65,4.62,4.30,4.54,0.0,0.0,great
P4,57.79,22.19,7.91,4.53,4.97,4.60,0.0,0.0,great
P4,55.32,15.75,6.22,4.54,5.46,5.15,0.0,0.0,great
P4,58.03,16.19,5.25,4.28,3.52,5.95,0.0,0.0,great
P4,55.62,21.22,8.09,3.28,4.56,5.92,0.0,0.0,great
P4,55.02,23.93,5.72,4.57,4.76,4.19,0.0,0.0,great
P4,58.86,21.16,6.00,3.31,5.37,5.24,0.0,0.0,great
P4,55.03,16.73,5.20,4.58,4.93,5.50,0.0,0.0,great
P4,57.09,19.02,5.96,3.46,4.10,4.20,0.0,0.0,great
P4,55.79,18.98,7.10,4.89,3.93,5.85,0.0,0.0,great
P4,58.78,18.45,6.85,4.06,3.41,5.55,0.0,0.0,great
P4,58.95,22.72,4.48,3.49,3.92,4.06,0.0,0.0,great
P4,55.92,20.71,7.52,3.61,4.59,4.74,0.0,0.0,great
P4,55.49,19.36,4.44,3.83,5.28,4.98,0.0,0.0,great
P4,58.48,15.10,6.30,4.63,4.85,4.82,0.0,0.0,great
P4,58.27,20.80,6.05,3.67,4.43,5.85,0.0,0.0,great
P4,56.46,15.05,6.66,3.32,4.58,4.44,0.0,0.0,great
P4,58.47,15.18,6.58,4.01,3.93,5.12,0.0,0.0,great
P4,57.79,15.07,4.30,3.30,4.36,4.72,0.0,0.0,great
P4,57.62,16.94,5.41,4.07,5.28,5.75,0.0,0.0,great
P4,57.25,20.31,8.48,4.55,4.93,5.29,0.0,0.0,great
P4,58.18,18.08,6.01,3.24,4.97,4.79,0.0,0.0,great
P4,56.33,21.73,7.13,3.93,5.15,5.89,0.0,0.0,great
P4,55.21,21.17,8.42,4.71,5.48,4.89,0.0,0.0,great
P4,57.32,18.04,5.89,3.29,4.93,5.87,0.0,0.0,great
P4,55.77,23.93,7.47,3.40,4.58,4.70,0.0,0.0,great
P4,56.74,21.40,4.99,4.03,4.37,5.09,0.0,0.0,great
P4,57.28,16.17,4.66,4.32,3.62,4.36,0.0,0.0,great
P4,55.23,20.08,8.36,4.16,5.17,5.44,0.0,0.0,great
P4,56.41,15.34,5.67,4.50,3.43,4.85,0.0,0.0,great
P4,55.56,19.19,4.50,4.90,4.85,4.38,0.0,0.0,great
P4,57.71,22.10,5.74,4.31,5.31,4.73,0.0,0.0,great
P4,57.15,17.37,6.93,3.87,4.89,5.35,0.0,0.0,great
P4,56.41,18.70,8.22,3.99,5.23,5.59,0.0,0.0,great
P4,58.90,20.83,5.60,3.95,3.94,5.14,0.0,0.0,great
P4,55.88,21.80,5.74,3.42,4.96,5.77,0.0,0.0,great
P4,55.50,20.65,4.41,3.98,4.21,5.24,0.0,0.0,great
P4,58.46,16.61,7.47,4.72,4.31,5.10,0.0,0.0,great
P4,56.63,18.66,6.07,4.01,5.39,4.91,0.0,0.0,great
P4,55.05,16.13,7.51,3.87,5.59,4.95,0.0,0.0,great
P4,56.49,17.98,6.33,3.24,4.77,5.91,0.0,0.0,great
P4,57.92,23.12,4.26,3.35,4.15,4.37,0.0,0.0,great
P4,58.16,23.91,8.29,3.96,3.79,4.91,0.0,0.0,great
P4,56.47,23.14,6.56,4.34,4.37,4.25,0.0,0.0,great
P4,56.07,18.72,7.41,3.52,4.62,5.24,0.0,0.0,great
P4,55.72,19.17,8.07,4.32,3.70,5.15,0.0,0.0,great
P4,57.61,18.95,8.10,4.77,4.02,5.09,0.0,0.0,great
P4,57.18,16.41,5.00,4.69,4.20,4.84,0.0,0.0,great
P4,56.58,22.49,4.62,4.24,4.07,4.14,0.0,0.0,great
P4,58.48,23.85,8.36,4.63,5.51,5.00,0.0,0.0,great
P4,57.40,20.28,6.93,4.49,4.48,5.77,0.0,0.0,great
P4,56.95,16.64,4.77,3.60,4.53,4.00,0.0,0.0,great
P4,57.73,15.14,5.08,3.26,4.14,5.79,0.0,0.0,great
P4,55.69,21.70,4.85,4.11,5.56,5.74,0.0,0.0,great
P4,56.06,22.16,6.50,3.64,5.29,5.53,0.0,0.0,great
P4,56.31,21.33,4.23,3.22,3.98,5.02,0.0,0.0,great
P4,56.05,23.73,6.91,3.77,4.23,4.20,0.0,0.0,great
P4,56.47,17.08,6.66,4.12,4.53,4.65,0.0,0.0,great
P4,55.34,16.45,6.41,3.76,4.38,5.53,0.0,0.0,great
P4,56.98,18.22,4.94,4.42,4.48,5.39,0.0,0.0,great
P4,56.51,22.21,6.25,3.31,3.93,4.45,0.0,0.0,great
P4,57.66,21.16,7.33,4.34,3.77,5.61,0.0,0.0,great
P4,58.35,15.88,7.71,4.60,4.13,4.81,0.0,0.0,great
P4,56.77,23.83,4.34,4.15,4.29,5.05,0.0,0.0,great
P4,56.54,21.16,6.55,4.73,3.40,5.40,0.0,0.0,great
P4,55.85,22.26,4.39,4.09,4.69,4.42,0.0,0.0,great
P4,55.87,19.83,8.31,3.81,3.72,5.90,0.0,0.0,great
P4,56.22,19.09,6.61,3.25,3.62,4.90,0.0,0.0,great
P4,56.01,20.72,7.13,3.70,3.93,4.49,0.0,0.0,great
P4,57.17,19.56,8.50,4.85,4.55,4.81,0.0,0.0,great
P4,58.54,16.47,4.73,3.73,5.13,4.16,0.0,0.0,great
P4,55.08,16.09,6.44,4.71,5.03,4.43,0.0,0.0,great
P4,55.43,20.81,4.79,3.69,4.21,4.30,0.0,0.0,great
P4,55.23,22.31,7.20,4.38,4.25,4.00,0.0,0.0,great
P4,57.97,18.62,6.71,4.77,4.79,5.21,0.0,0.0,great
P4,57.82,15.48,8.09,4.77,4.42,5.73,0.0,0.0,great
P4,57.95,15.07,6.21,3.84,3.95,5.44,0.0,0.0,great
P4,57.28,18.14,5.51,3.86,4.33,5.53,0.0,0.0,great
P4,56.74,15.92,8.12,4.05,4.40,4.98,0.0,0.0,great
P4,56.36,20.83,4.65,3.65,4.59,5.61,0.0,0.0,great
P4,55.51,23.13,4.23,4.41,4.67,4.51,0.0,0.0,great
P4,58.78,15.08,4.80,3.84,3.85,5.29,0.0,0.0,great
P4,56.06,15.99,5.50,3.66,4.97,5.50,0.0,0.0,great
P4,55.18,18.05,4.92,3.38,4.13,4.14,0.0,0.0,great
P4,56.54,20.23,5.66,3.56,5.13,4.71,0.0,0.0,great
P4,56.57,21.41,7.79,4.59,3.64,5.24,0.0,0.0,great
P4,55.08,16.75,5.47,3.87,3.50,4.24,0.0,0.0,great
P4,56.95,18.93,7.70,3.47,3.63,4.36,0.0,0.0,great
P4,57.71,21.26,6.07,3.66,4.31,4.86,0.0,0.0,great
P4,58.84,18.38,5.27,4.34,5.44,5.97,0.0,0.0,great
P4,56.92,15.10,4.42,3.41,3.58,4.92,0.0,0.0,great
P4,55.95,18.08,8.59,3.45,4.95,4.47,0.0,0.0,great
P4,55.02,20.74,6.15,3.35,3.89,5.27,0.0,0.0,great
P4,55.92,19.55,7.22,3.54,5.16,5.41,0.0,0.0,great
P4,57.05,15.50,7.90,3.48,5.55,4.65,0.0,0.0,great
P4,55.30,20.88,5.81,3.43,4.91,4.22,0.0,0.0,great
P4,58.84,23.27,4.20,4.75,4.47,5.34,0.0,0.0,great
P4,56.36,15.14,7.21,4.31,3.66,6.00,0.0,0.0,great
P4,55.16,22.40,6.68,4.33,3.73,4.41,0.0,0.0,great
P4,57.34,23.40,4.87,4.31,4.30,5.84,0.0,0.0,great
P4,58.12,23.52,6.51,4.41,3.85,4.41,0.0,0.0,great
P4,58.04,16.74,4.68,3.66,3.63,4.56,0.0,0.0,great
P4,56.46,20.27,6.69,4.00,3.88,4.62,0.0,0.0,great
P4,57.16,16.32,4.96,4.40,3.67,4.20,0.0,0.0,great
P4,56.34,21.83,6.06,4.89,3.96,5.50,0.0,0.0,great
P4,57.03,23.25,4.17,3.23,3.76,4.10,0.0,0.0,great
P4,57.10,19.82,4.45,4.12,3.74,5.78,0.0,0.0,great
P4,58.64,15.14,5.83,3.64,3.72,5.57,0.0,0.0,great
P4,58.56,19.82,6.09,4.57,4.84,4.61,0.0,0.0,great
P4,57.76,19.83,7.81,3.94,4.01,4.90,0.0,0.0,great
P4,57.91,16.81,7.75,4.22,3.49,5.12,0.0,0.0,great
P4,57.00,22.46,6.51,4.53,4.76,4.67,0.0,0.0,great
P4,58.01,23.83,4.33,3.53,4.38,4.39,0.0,0.0,great
P4,57.27,15.44,5.20,4.29,5.57,5.12,0.0,0.0,great
P4,55.23,18.20,4.32,4.10,3.46,4.03,0.0,0.0,great
P4,57.09,19.03,4.82,4.69,4.34,4.31,0.0,0.0,great
P4,55.59,22.86,7.38,4.23,5.48,5.41,0.0,0.0,great
P4,57.15,18.89,7.05,3.82,5.09,5.22,0.0,0.0,great
P4,58.73,22.76,8.43,4.86,4.16,4.31,0.0,0.0,great
P4,57.70,19.73,8.10,3.45,3.99,4.42,0.0,0.0,great
P4,58.83,18.43,7.58,3.27,4.10,5.21,0.0,0.0,great
P4,57.89,17.87,4.74,4.07,5.22,5.40,0.0,0.0,great
P4,55.23,16.53,7.65,3.65,4.49,5.05,0.0,0.0,great
P4,56.89,16.82,6.65,4.48,3.41,5.77,0.0,0.0,great
P4,55.53,23.64,7.40,4.68,4.93,5.36,0.0,0.0,great
P4,55.30,18.13,5.63,4.37,4.75,5.43,0.0,0.0,great
P4,58.44,18.34,6.18,4.07,5.49,5.00,0.0,0.0,great
P4,58.57,22.15,5.20,3.91,5.00,5.96,0.0,0.0,great
P4,58.74,23.06,8.02,4.43,4.17,5.39,0.0,0.0,great
P4,55.59,22.81,5.56,4.24,4.71,5.06,0.0,0.0,great
P4,57.41,15.61,7.93,4.19,5.52,5.57,0.0,0.0,great
P4,57.61,17.02,6.74,4.49,3.84,4.30,0.0,0.0,great
P4,56.29,22.53,7.85,4.62,4.83,5.14,0.0,0.0,great
P4,58.95,22.74,4.81,3.89,3.63,5.38,0.0,0.0,great
P4,57.80,19.16,4.61,3.70,4.29,5.91,0.0,0.0,great
P4,57.49,16.98,4.67,3.42,4.71,5.96,0.0,0.0,great
P4,55.44,22.84,8.14,4.27,5.05,5.30,0.0,0.0,great
P4,58.15,16.98,4.75,3.52,3.99,4.23,0.0,0.0,great
P4,58.74,18.41,7.35,4.81,4.77,4.53,0.0,0.0,great
P4,55.77,19.77,4.14,4.13,4.96,5.01,0.0,0.0,great
P4,57.99,23.93,4.86,4.34,3.97,4.59,0.0,0.0,great
P4,55.87,22.10,6.33,3.92,4.12,5.23,0.0,0.0,great
P4,57.28,16.64,5.59,3.45,5.15,5.80,0.0,0.0,great
P4,57.50,21.11,6.79,3.62,3.42,5.91,0.0,0.0,great
P4,58.26,24.00,7.47,3.29,4.29,4.52,0.0,0.0,great
P4,57.49,21.95,5.19,4.83,5.37,4.26,0.0,0.0,great
P4,57.33,21.82,4.43,4.02,4.10,4.70,0.0,0.0,great
P4,57.74,15.16,4.82,4.78,4.10,5.73,0.0,0.0,great
P4,57.49,16.73,6.59,4.73,4.14,4.96,0.0,0.0,great
P4,56.95,18.80,6.88,4.47,5.50,4.22,0.0,0.0,great
P4,57.06,15.42,7.92,4.07,3.54,5.37,0.0,0.0,great
P4,55.48,15.73,8.54,4.59,5.33,4.03,0.0,0.0,great
P4,56.92,18.63,6.79,4.35,4.85,4.70,0.0,0.0,great
P4,58.38,16.24,8.55,4.33,4.75,4.78,0.0,0.0,great
P4,57.52,22.15,5.47,3.38,4.93,5.60,0.0,0.0,great
P4,57.86,19.62,8.26,3.31,3.62,5.50,0.0,0.0,great
P4,57.05,16.88,7.52,3.66,4.17,5.10,0.0,0.0,great
P4,57.16,18.14,5.21,4.66,5.42,4.88,0.0,0.0,great
P4,56.65,19.40,5.68,3.51,4.09,6.00,0.0,0.0,great
P4,55.24,15.72,7.47,3.35,4.17,5.25,0.0,0.0,great
P4,55.49,18.53,4.76,3.62,4.54,5.97,0.0,0.0,great
P4,57.04,22.54,6.01,4.26,4.03,5.85,0.0,0.0,great
P4,57.38,21.04,7.01,3.62,3.57,4.83,0.0,0.0,great
P4,55.88,19.70,7.38,4.77,4.47,4.94,0.0,0.0,great
P4,56.87,23.71,4.40,4.25,5.31,4.87,0.0,0.0,great
P4,57.15,18.42,5.81,4.44,4.15,5.74,0.0,0.0,great
P4,55.88,15.77,7.11,3.89,4.83,4.34,0.0,0.0,great
P4,58.79,17.32,8.52,4.35,5.53,4.54,0.0,0.0,great
P4,57.16,18.33,7.35,3.21,4.88,5.93,0.0,0.0,great
P4,55.34,22.51,5.82,4.27,3.78,5.93,0.0,0.0,great
P4,56.81,18.09,6.79,4.35,4.70,4.61,0.0,0.0,great
P4,55.60,16.95,8.49,4.15,5.30,5.14,0.0,0.0,great
P4,57.80,20.38,5.57,3.55,4.77,4.44,0.0,0.0,great
P4,55.73,15.71,7.65,3.25,4.14,5.40,0.0,0.0,great
P4,55.50,15.70,7.15,4.58,5.58,5.65,0.0,0.0,great
P4,57.88,17.54,8.35,3.68,5.59,4.28,0.0,0.0,great
P4,58.21,18.71,6.59,3.72,5.51,4.18,0.0,0.0,great
P4,56.96,18.77,7.97,4.51,3.76,4.85,0.0,0.0,great
P4,56.07,21.88,4.01,4.78,3.54,4.76,0.0,0.0,great
P4,58.86,16.29,4.77,4.25,3.50,4.41,0.0,0.0,great
P4,55.93,23.11,8.44,3.26,4.88,4.83,0.0,0.0,great
P4,55.03,18.35,7.89,4.80,3.57,5.09,0.0,0.0,great
P4,55.25,21.04,8.04,4.38,4.29,5.03,0.0,0.0,great
P4,55.87,19.81,5.59,3.95,4.38,4.96,0.0,0.0,great
P4,56.90,23.91,4.52,4.82,4.87,5.47,0.0,0.0,great
P4,55.16,23.46,6.51,4.37,3.63,4.73,0.0,0.0,great
P4,58.95,20.73,5.18,4.60,3.78,4.88,0.0,0.0,great
P4,56.69,16.33,6.69,4.36,3.90,5.56,0.0,0.0,great
P4,55.29,21.49,7.19,4.23,3.93,4.42,0.0,0.0,great
